code,label_en
F42_DIS_ASS,"""Net acquisition (+) of financial assets - long-term loans; disposal/reduction (-)"""
F42_LESSY,Long-term loans - with remaining maturity of one year or less
F42_OVERY,Long-term loans - with remaining maturity of more than one year
F4M2,Stock of non-performing loans provided by government
F4_ACQ_ASS,Net acquisition (+) of financial assets - loans - acquisition/increase (+)
F4_ACQ_ORWB,"""Financial transactions included in the working balance - loans; acquisition/increase (+)"""
F4_ASS,Net acquisition (+) of financial assets - loans
F4_DIS_ASS,"""Net acquisition (+) of financial assets - loans; disposal/reduction (-)"""
F4_DIS_ORWB,"""Financial transactions included in the working balance - loans; disposal/reduction (-)"""
F4_FDI,"Loans, of which foreign direct investment"
F4_NAC,"Loans, of which in national currency"
F4_ORWB,Financial transactions included in the working balance - loans (+/-)
F5,Equity and investment fund shares
F51,Equity
F511,Listed shares
F511_FDI,"Listed shares, of which foreign direct investment"
F512,Unlisted shares
F512_F519,"""Unlisted shares; other equity"""
F519,Other equity
F51M_FDI,"Unlisted shares and other equity, of which foreign direct investment"
F51_FDI,"Equity, of which foreign direct investment"
F52,Investment fund shares/units
F521,Money market fund shares /units
F522,Non-money market fund shares/units
F5OP_ACQ_ASS,"""Net acquisition (+) of financial assets - equity and investment fund shares/units other than portfolio investments; acquisition/increase (+)"""
F5OP_ASS,Net acquisition (+) of financial assets - equity and investment fund shares/units other than portfolio investments
F5OP_DIS_ASS,"""Net acquisition (+) of financial assets - equity and investment fund shares/units other than portfolio investments; disposal/reduction (-)"""
F5PN_ASS,"Net acquisition (+) of financial assets - equity and investment fund shares/units - portfolio investments, net"
F5_ACQ_ORWB,"""Financial transactions included in the working balance - equity and investment fund shares; acquisition/increase (+)"""
F5_ASS,Net acquisition (+) of financial assets - equity and investment fund shares/units
F5_DIS_ORWB,"""Financial transactions included in the working balance - equity and investment fund shares; disposal/reduction (-)"""
F5_NAC,"Equity and investment fund shares, of which in national currency"
F5_ORWB,Financial transactions included in the working balance - equity and investment fund shares (+/-)
F6,"Insurance, pensions and standardised guarantees"
F61,Non-life insurance technical reserves
F61_F66,"Non life insurance technical reserves, and provisions for calls under standardised guarantees"
F62,Life insurance and annuity entitlements
F62A,"Life insurance and annuity entitlements, unit linked"
F62B,"Life insurance and annuity entitlements, non-unit linked"
F63,Pension entitlements
F63A,"Pension entitlements, defined contribution"
F63B,"Pension entitlements, defined benefit"
